1,Avatar,10-12-2009,http://www.avatarmovie.com/,237000000,11800
2,Pirates of the Caribbean: At World's End,19-05-2007,http://disney.go.com/disneypictures/pirates/,300000000,4500
3,Spectre,26-10-2015,http://www.sonypictures.com/movies/spectre/,245000000,4466
4,The Dark Knight Rises,16-07-2012,http://www.thedarkknightrises.com/,250000000,9106
5,John Carter,07-03-2012,http://movies.disney.com/john-carter,260000000,2124
6,Spider-Man 3,01-05-2007,http://www.sonypictures.com/movies/spider-man3/,258000000,3576
7,Tangled,24-11-2010,http://disney.go.com/disneypictures/tangled/,260000000,3330
8,Avengers: Age of Ultron,22-04-2015,http://marvel.com/movies/movie/193/avengers_age_of_ultron,280000000,6767
9,Harry Potter and the Half-Blood Prince,07-07-2009,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,250000000,5293
10,Batman v Superman: Dawn of Justice,23-03-2016,http://www.batmanvsupermandawnofjustice.com/,250000000,7004
11,Superman Returns,28-06-2006,http://www.superman.com,270000000,1400
12,Quantum of Solace,30-10-2008,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,200000000,2965
13,Pirates of the Caribbean: Dead Man's Chest,20-06-2006,http://disney.go.com/disneypictures/pirates/,200000000,5246
14,The Lone Ranger,03-07-2013,http://disney.go.com/the-lone-ranger/,255000000,2311
15,Man of Steel,12-06-2013,http://www.manofsteel.com/,225000000,6359
16,The Chronicles of Narnia: Prince Caspian,15-05-2008,,225000000,1630
17,The Avengers,25-04-2012,http://marvel.com/avengers_movie/,220000000,11776
18,Pirates of the Caribbean: On Stranger Tides,14-05-2011,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,380000000,4948
19,Men in Black 3,23-05-2012,http://www.sonypictures.com/movies/meninblack3/,225000000,4160
20,The Hobbit: The Battle of the Five Armies,10-12-2014,http://www.thehobbit.com/,250000000,4760
21,The Amazing Spider-Man,27-06-2012,http://www.theamazingspiderman.com,215000000,6586
22,Robin Hood,12-05-2010,http://www.robinhoodthemovie.com/,200000000,1398
23,The Hobbit: The Desolation of Smaug,11-12-2013,http://www.thehobbit.com/,250000000,4524
24,The Golden Compass,04-12-2007,http://www.goldencompassmovie.com/index_german.html,180000000,1303
25,King Kong,14-12-2005,,207000000,2337
26,Titanic,18-11-1997,http://www.titanicmovie.com,200000000,7562
27,Captain America: Civil War,27-04-2016,http://marvel.com/captainamericapremiere,250000000,7241
28,Battleship,11-04-2012,,209000000,2114
29,Jurassic World,09-06-2015,http://www.jurassicworld.com/,150000000,8662
30,Skyfall,25-10-2012,http://www.skyfall-movie.com,200000000,7604
31,Spider-Man 2,25-06-2004,http://www.sonypictures.com/movies/spider-man2/,200000000,4321
32,Iron Man 3,18-04-2013,http://marvel.com/ironman3,200000000,8806
33,Alice in Wonderland,03-03-2010,http://disney.go.com/wonderland/,200000000,4645
34,X-Men: The Last Stand,24-05-2006,,210000000,3525
35,Monsters University,20-06-2013,,200000000,3528
36,Transformers: Revenge of the Fallen,19-06-2009,http://www.transformersmovie.com/,150000000,3138
37,Transformers: Age of Extinction,25-06-2014,http://www.transformersmovie.com,210000000,3095
38,Oz: The Great and Powerful,07-03-2013,http://www.ozthegreatandpowerfulmovie.com,200000000,3530
39,The Amazing Spider-Man 2,16-04-2014,http://www.theamazingspiderman.com,200000000,4179
40,TRON: Legacy,10-12-2010,http://disney.go.com/tron/,170000000,2841
41,Cars 2,11-06-2011,http://www.disney.go.com/cars/,200000000,2033
42,Green Lantern,16-06-2011,http://greenlanternmovie.warnerbros.com/,200000000,2487
43,Toy Story 3,16-06-2010,http://disney.go.com/toystory/,200000000,4597
44,Terminator Salvation,20-05-2009,https://www.warnerbros.com/terminator-salvation,200000000,2463
45,Furious 7,01-04-2015,http://www.furious7.com/,190000000,4176
46,World War Z,20-06-2013,http://www.worldwarzmovie.com,200000000,5560
47,X-Men: Days of Future Past,15-05-2014,http://www.x-menmovies.com/,250000000,6032
48,Star Trek Into Darkness,05-05-2013,,190000000,4418
